Extraction date: 23/3/2009
Index calculated by ICES. The calculation method is described in the DATRAS documentation

TSN code,NODC code,Species,Variable,Value
171841,8847011307,Gobius cobitis,,
171850,8847011316,Gobius niger,,
162163,875901,Gonostomatidae ,,
171680,8845010201,Gymnammodytes semisquamatus,,
166787,8826010301,Helicolenus dactylopterus,LngtClass,500
172877,8857040603,Hippoglossoides platessoides,LngtClass,900
172933,8857041902,Hippoglossus hippoglossus,LngtClass,2750
171681,88450103,Hyperoplus ,,
171683,8845010302,Hyperoplus immaculatus,,
171682,8845010301,Hyperoplus lanceolatus,,
170737,8839013603,Labrus bergylta,,
170739,8839013605,Labrus mixtus,,
159911,8707040302,Lamna nasus,,
159700,86030102,Lampetra ,,
159719,8603010217,Lampetra fluviatilis,,
615903,,Lamprididae ,,
164475,87840106,Lepadogaster ,,
172835,8857032302,Lepidorhombus whiffiagonis,LngtClass,650
167478,8831081801,Leptagonus decagonus,,
171603,8842121801,Leptoclinus maculatus,,
172034,88470167,Lesueurigobius ,,
172036,8847016702,Lesueurigobius friesii,,
172035,8847016701,Lesueurigobius suerii,,
564128,,Leucoraja circularis,,
564134,,Leucoraja fullonica,LngtClass,1300
564140,,Leucoraja lentiginosa,,
564143,,Leucoraja naevus,LngtClass,1000
172881,8857040904,Limanda limanda,LngtClass,400
167550,88310908,Liparis ,LngtClass,150
167578,8831090828,Liparis liparis,LngtClass,150
167581,8831090831,Liparis montagui,LngtClass,150
170377,8836010902,Liza aurata,,
164497,878601,Lophiidae ,,
164498,87860101,Lophius ,,
164502,8786010104,Lophius budegassa,,
164501,8786010103,Lophius piscatorius,LngtClass,1500
631023,,Lumpenus lampretaeformis,,
171588,8842120905,Lumpenus lumpretaeformis,LngtClass,350
165243,8793010513,Lycenchelys sarsi,,
631033,,Lycenchelys sarsii,,
165255,87930107,Lycodes ,,
165284,8793010724,Lycodes vahlii,,
162187,8759010501,Maurolicus muelleri,,
164744,8791031301,Melanogrammus aeglefinus,LngtClass,800
164758,8791031801,Merlangius merlangus,LngtClass,700
164789,879104,Merlucciidae ,,
164795,8791040105,Merluccius merluccius,LngtClass,1200
173022,88580109,Microchirus ,,
173026,8858010903,Microchirus variegatus,LngtClass,400
164774,8791032201,Micromesistius poutassou,LngtClass,450
172888,8857041202,Microstomus kitt,LngtClass,700
164761,8791031902,Molva dypterygia,,
164760,8791031901,Molva molva,LngtClass,2000
170335,8836010101,Mugil cephalus,,
170333,883601,Mugilidae ,,
169419,8835450203,Mullus barbatus,,
169418,8835450202,Mullus surmuletus,,
160226,87080204,Mustelus ,,
160240,8708020408,Mustelus asterias,,
160242,8708020409,Mustelus mustelus,,
162575,876214,Myctophidae ,,
162368,8762,Myctophiformes ,,
167311,88310222,Myoxocephalus ,,
167316,8831022205,Myoxocephalus quadricornis,,
167317,8831022206,Myoxocephalus scorpioides,,
167318,8831022207,Myoxocephalus scorpius,,
159772,8606010201,Myxine glutinosa,,
166595,8820022202,Nerophis ophidion,,
162039,8755030301,Osmerus eperlanus,LngtClass,500
169215,8835430804,Pagellus erythrinus,,
173051,8858011701,Pegusa lascaris,,
159721,86030103,Petromyzon ,,
159722,8603010301,Petromyzon marinus,,
171645,8842130209,Pholis gunnellus,,
164751,8791031602,Phycis blennoides,LngtClass,600
172894,8857041402,Platichthys flesus,LngtClass,550
172902,8857041502,Pleuronectes platessa,LngtClass,900
164728,8791030902,Pollachius pollachius,LngtClass,1300
164727,8791030901,Pollachius virens,LngtClass,1200
171977,88470151,Pomatoschistus ,,
171982,8847015103,Pomatoschistus microps,,
171978,8847015101,Pomatoschistus minutus,,
616195,,Psetta maxima,LngtClass,1000
160846,87130401,Raja ,,
160880,8713040138,Raja brachyura,LngtClass,1300
160901,8713040159,Raja clavata,LngtClass,1300
160883,8713040141,Raja montagui,LngtClass,1000
160900,8713040158,Raja undulata,LngtClass,900
564135,,Rajella fyllae,,
160845,871304,Rajidae ,,
160806,8713,Rajiformes ,,
164777,8791032301,Raniceps raninus,,
161994,87550103,Salmo ,,
161996,8755010305,Salmo salar,,
161997,8755010306,Salmo trutta,LngtClass,1000
161813,8747012201,Sardina pilchardus,LngtClass,400
172414,8850030302,Scomber scombrus,LngtClass,650
165612,8803030201,Scomberesox saurus,,
172749,8857030403,Scophthalmus rhombus,LngtClass,650
166839,8826010628,Scorpaena scrofa,,
166704,882601,Scorpaenidae ,,
159985,870801,Scyliorhinidae ,,
160053,87080103,Scyliorhinus ,,
160065,8708010306,Scyliorhinus canicula,LngtClass,800
160067,8708010307,Scyliorhinus stellaris,LngtClass,1600
166705,88260101,Sebastes ,,
166745,8826010139,Sebastes marinus,LngtClass,1000
166756,8826010151,Sebastes mentella,,
166779,8826010175,Sebastes viviparus,LngtClass,350
173000,88580106,Solea ,,
173001,8858010601,Solea vulgaris,LngtClass,550
172980,885801,Soleidae ,,
160611,8710010102,Somniosus microcephalus,,
169180,883543,Sparidae ,,
166401,8818010501,Spinachia spinachia,,
169229,8835431201,Spondyliosoma cantharus,,
161789,8747011701,Sprattus sprattus,LngtClass,200
161789,8747011701,Sprattus sprattus,LngtCode,0
160604,871001,Squalidae ,,
160617,8710010201,Squalus acanthias,LngtClass,1300
171554,884212,Stichaeidae ,,
614239,,Symphodus melops,,
166443,882002,Syngnathidae ,,
166438,8820,Syngnathoidei ,,
166444,88200201,Syngnathus ,,
166464,8820020120,Syngnathus acus,,
166463,8820020119,Syngnathus rostellatus,,
166467,8820020123,Syngnathus typhle,,
167390,8831024601,Taurulus bubalis,,
167391,8831024602,Taurulus lilljeborgi,,
172422,8850030402,Thunnus orientalis,,
172421,8850030402,Thunnus thynnus,,
160838,8713030105,Torpedo marmorata,,
170992,8840060102,Trachinus draco,,
170991,8840060101,Trachinus vipera,,
168588,8835280103,Trachurus trachurus,LngtClass,450
165419,8794011502,Trachyrincus murrayi,,
167039,8826020501,Trigla lucerna,LngtClass,650
166972,882602,Triglidae ,,
167046,8826020701,Trigloporus lastoviza,,
167368,88310238,Triglops ,,
167375,8831023807,Triglops murrayi,,
167373,8831023805,Triglops pingeli,,
164756,8791031703,Trisopterus esmarkii,LngtClass,320
164755,8791031702,Trisopterus luscus,LngtClass,500
164754,8791031701,Trisopterus minutus,LngtClass,300
172828,88570321,Zeugopterus ,,
616613,,Zeugopterus norvegicus,,
172829,8857032101,Zeugopterus punctatus,,
616605,,Zeugopterus regius,,
166287,8811030301,Zeus faber,LngtClass,700
165324,8793012001,Zoarces viviparus,,
165215,879301,Zoarcidae ,,
